No;Algorithm;Submitters
1;AFS-TrEDM;Bohua Wei, Yongzhuang Wei, Lingchen Li, Fengrong Zhang, Tao Ye, Zhiguang Yan, Ting Fan
2;AXIS: Advanced eXpandable Iterative Stream-based Hash;Danping Shi, Lei Hu, Dingfeng Ye, Qianqian Yang, Qing Ling, Haomeng Xu, Jun Xu, Guifang Huang, Yijing Wang, Zhiru Chen, Wenfei Qian, Xiaolong Zhang, Pingjian Wang, Yuan Ma
3;C Hash;Liting Zhang, Ying Zhang
4;CHAMP;Alexander Demin, Alexey Ovchinnikov, Vladimir Shpilrain
5;Cryptographic Hash Algorithm uHash;Yafei Zheng, Yuhan Zhang, Han Sui, Meichun Jia, Si Gao, Wenling Wu
6;Cuishen;Yaobin Shen, Tingting Cui, Zhe Liu, Mingyang Chang, Yan He, Feng Li, Tianhao Liu
7;Dragon Hash Family;Meiqin Wang, Kai Hu, Zhuolong Zhang, Yong Fu, Yanhong Fan, Lixuan Wu, Shiyao Chen, Jiamin Cui, Zhongfeng Niu, Qun Liu, Chenhao Jia, Longzheng Cui
8;Duet;Yaobin Shen, Tingting Cui, Ziyang Luo, Yan He, Feng Li
9;Eijen Hash Function;Keting Jia, Qingliang Hou, Guoxiao Liu, Zhuoqing Peng, Yantian Shen, Xiaoen Lin, Yukun Liu
10;FEILIAN;Lei Wang, Ling Song, Yaobin Shen, Kaixuan Wang, Zicheng Shi, Xin Yi
11;Garnet;Bin Zhang, Yingxin Li, Zhenzhen Bao, Wei Wang, Rui Wang, Jianhui Zhang
12;Iphe;Zhengrong Lu, Xiaoen Lin, Chongxu Ren, Yantian Shen, Guoxiao Liu, Haorui Cui, Keting Jia
13;JuziHash;Hongjun Wu
14;Laurus;Wenyi Jia, Changlun Li, Yupeng Liu, Honggang Hu, Liang Bai, Yitong Liu, Ye Peng, Jiali Wu
15;Litchi;Wenyi Jia, Yupeng Liu, Liang Bai, Honggang Hu, Changlun Li, Yitong Liu, Ye Peng, Jiali Wu
16;LLH;Xiutao Feng, Xiangyong Zeng, Zhangyi Wang, Shengyuan Xu, Zejun Xiang, Huandong Wang, Ming Tang, Deng Tang, Bo Qin, Bo Gao, Weiguo Zhang, Siwei Chen
17;MasterCube;Zheng Gong, Dachao Wang, Yufeng Tang, Di Li, Liangju Zhao
18;Megascon Hash Function;Wenquan Bi, Patrick Derbez, Xiaoyang Dong, Pierre-Alain Fouque, Keting Jia, Lingyue Qin, André Schrottenloher, Liyuan Tang, Boxin Zhao
19;MoFang Hash Function;Wenquan Bi, Boxin Zhao, Xiaoyang Dong, Keting Jia, Lingyue Qin
20;Mozi Hash Function;Wenquan Bi, Patrick Derbez, Xiaoyang Dong, Pierre-Alain Fouque, Keting Jia, Lingyue Qin, André Schrottenloher, Liyuan Tang, Boxin Zhao
21;Neulaser;Kexin Qiao, Heng Chang, Yaoling Ding, Liehuang Zhu
22;Pavelor: A Highly Secure Hash Algorithm for Software Implementation;Ruichen Wu, Yufei Yang, Danxun Zhang, Shanpeng Wei, Wenling Wu
23;QILIN;Meicheng Liu, Xiaobin Yu, Zhongyi Zhang, Jiangyu Chen, Shichang Wang, Dongdai Lin
24;QuantaSylva Hash;Shiqi Hou, Dongdai Lin, Shichang Wang
25;TaiChi;Zhongyi Zhang, Xiaobin Yu, Meicheng Liu, Guoyan Zhang, Shiyue Diao, Peng Nie
26;The Hash Function CHIME;Gaoli Wang, Tao Huang
27;The Vedak Hash Function Family;Yu Zhang, Yuhan Zhang, Shanpeng Wei, Si Gao, Wenling Wu
28;The XRH-1 Hash Function;Siwei Sun, Zhiyu Zhang, Shun Li, Fangyu Zheng, Yong Liu, Guozhen Liu, Jianhua Wang, Ruixi Lv, Zhen Qin
29;The XRH-2 Hash Function;Siwei Sun, Zhiyu Zhang, Shun Li, Fangyu Zheng, Yong Liu, Guozhen Liu, Jianhua Wang, Ruixi Lv, Zhen Qin
30;The ZC-DM Hash Function;Siwei Sun, Shun Li, Zhiyu Zhang, Fangyu Zheng, Guozhen Liu, Yong Liu, Jianhua Wang, Zhen Qin, Ruixi Lv
31;The ZC-DMC Hash Function;Siwei Sun, Shun Li, Zhiyu Zhang, Fangyu Zheng, Guozhen Liu, Yong Liu, Jianhua Wang, Zhen Qin, Ruixi Lv
32;The ZC-EDMC Hash Function;Siwei Sun, Shun Li, Zhiyu Zhang, Fangyu Zheng, Guozhen Liu, Yong Liu, Jianhua Wang, Zhen Qin, Ruixi Lv
33;Thunder Hash Family;Meiqin Wang, Kai Hu, Hao Lei, Yong Fu, Yanhong Fan, Lixuan Wu, Shiyao Chen, Jiamin Cui, Zhongfeng Niu, Qun Liu, Chenhao Jia, Longzheng Cui
34;WChain Hash Function;Keting Jia, Guoxiao Liu, Qingliang Hou, Zhuoqing Peng, Yantian Shen, Xiaoen Lin, Zhengrong Lu
35;Wish Hash Function;Shiyao Chen, Wenjie Nan, Meiqin Wang, Tianyu Zhang
