No;Algorithm;Submitters
1;Aigis-Enc+;Jiang Zhang, Yu Yu, Shuqin Fan, Kang Yang, Debiao He, Runqing Xu, Jiangxia Ge, Yuanmi Chen, Weijia Wang, Cong Peng, Di Yan, Hui Guo, Hui Zhu, Ruikang Liu, Jing Pan
2;Amoeba;Liping Wang, Qingfeng Wang, Liang Fan, Jiale Li, Huaxiong Wang
3;BAG-Loong;Liping Wang, Haofei Wang, Buchan Liu, Peirong Li, Huaxiong Wang
4;BAG-Piglet;Liping Wang, Yi Tang, Haofei Wang, Lingqing Zhao
5;BIKE-MLThre;Yongbin Liu, Zhenxing Niu, Haichang Gao, Yulong Shen, Xutong Mu, Ke Cheng
6;BRA;Xinyi Huang, Yongcheng Song, Rongmao Chen, Jiang Zhang, Debiao He, Xiaofeng Chen, Junzuo Lai, Yi Wang, Chao Lin, Jiang Tan, Kang Lin
7;BRQC;Xinyi Huang, Yongcheng Song, Rongmao Chen, Jiang Zhang, Debiao He, Xiaofeng Chen, Junzuo Lai, Yi Wang, Chao Lin, Jiang Tan, Kang Lin
8;BW-KEM;Yunlei Zhao, Songlin Li, Hengchuan Zou, Chaofeng Guan, Yanbin Pan, Weizhi Ao, Zhenhao Zhang, Zhenyu Song, Han Liu, Shuaihao Li, Hanyu Wei, Xinsheng Zhang, Wenbo Guo
9;CheetahKEM;Chengdong Tao
10;C-Multi-UR-AG;Yongcheng Song, Xinyi Huang, Rongmao Chen, Jiang Zhang, Debiao He, Xiaofeng Chen, Junzuo Lai, Yi Wang, Chao Lin, Jiang Tan, Kang Lin
11;COMPASS-KEM;Geng Wang, Zhedong Wang, Wenwen Xia, Ningyue Zhang, Wenyu He, Xinyang Geng, Fei Duan, Weidan Ji, Jihong Li
12;CTL Algorithm;Shihui Zheng, Yan Li, Xiaobo Hu, Yanyan Yu, Suya Zhang, Zhengyan Liang, Juan Ren, Meng Liu, Bo Peng, Shuo Yang, Yun Wang
13;DKEM (Ding Key Encapsulation);Rui Liu, Chen Kong, Wenbin Zhang, Neng Zeng, Han Xia, Manoj Gyawali, Samuel José García, Alba Hernández Costoya, Haiyang Xue, Junhao Huang, Boru Gong, Yi Jin
14;DTRU;Yunlei Zhao, Hengchuan Zou, Songlin Li, Jieyu Zheng, Xiaowen Hu, Hanyu Wei, Weizhi Ao, Zhaohui Cheng, Yanbin Pan, Wenbo Guo
15;FLIT;Yanbin Pan, Yihui Wu, Qian Lu, Chi Cheng, Renzhang Liu, Qian Du
16;HARE;Tianrui Wang, Qicheng Teng, Jipeng Li, Anyu Wang, Jun Zhang, Bo Pang, Chaojian Shen, Zhiyuan Qiu, Chunhuan Zhao, Sihuang Hu
17;Hybrid Equivalent Punctured and Quasi-Cyclic;Chengju Li, Tianrui Liu, Chunyu Gan, Zhongyu Huang, Shuying Dong, Xinran Wang
18;LoongKEM;Chengdong Tao
19;Lore;Zhongxiang Zheng, Anyu Wang, Chunhuan Zhao, Guangwu Xu, Sibo Feng, Jingtao Wang, Wanshan Xu, Yuhang Sun, Yingxue Ma, Huayun Tang, Shuang Sun, Shuaigang Li
20;MAMBA-Frost;Shanxiang Lyu, Ke Ma, Junzuo Lai, Zheng Qin, Ming Li
21;MAMBA-Viper;Shanxiang Lyu, Ke Ma, Jiarui Deng, Junzuo Lai, Ling Liu, Xianhui Lu
22;Mithril;Jose Maria Bermudo Mera, Joppe W. Bos, Angshuman Karmakar, Joost Renes, Sujoy Sinha Roy, Michiel Van Beirendonck, Fréderik Vercauteren, Peng Wang, Yuewu Wang, Fangyu Zheng
23;Mito;Changlun Li, Chengju Li, Liang Bai, Qiping Lin, Tianrui Liu, Yan Ding, Chunyu Gan, Zhongyu Huang
24;MORNING-Scabbard;Supriya Adhikary, Songqiao Cui, Debayan Das, Abhinava De, Anindya Ganguly, Harry Hart, Angshuman Karmakar, Suparna Kundu, Chaoyun Li, Prajna Mahadev, Puja Mondal, Quinten Norga, Thales B. Paiva, Debranjan Pal
25;NEV;Jiang Zhang, Di Yan, Shuqin Fan, Debiao He, Yu Yu, Runqing Xu, Jiangxia Ge, Yuanmi Chen, Weijia Wang, Cong Peng, Kang Yang, Hui Guo, Hui Zhu, Ruikang Liu, Jing Pan
26;NSS-HQC;Yulong Shen, Xutong Mu, Shuaiping Dong, Zidong Zhou, Ahmat Bahadir, Junbo Ni, Haoyu Zhang, Jinxuan Cui, Ke Cheng, Anxiao Song, Zhenxing Niu, Lele Zheng
27;NTRE Key Encapsulation Mechanism;Rongmao Chen, Jinrong Chen, Yi Wang, Xinyi Huang, Yutong Bian, Yumin Chen, Zhichao Yang, Kang Lin, Jiang Tan, Wei Yan
28;OAEP-NTRU;Shengli Liu, You Lyu, Shuai Han, Bohang Chen
29;Polar-KEM;Hao Yan, Shanxiang Lyu, Ling Liu
30;PolarLAC;Xianhui Lu, Jiabo Wang, Dongshu Cai, Ying Liu, Ziyao Liu, Lei Bi, Yijian Liu, Dingding Jia, Yu Zhang, Jingnan He, Yamin Liu, Bo Pang
31;QIMEN-PIKE;Yu Yu, Wouter Castryck, Mingjie Chen, Arthur Herlédan Le Merdy, Zhi Hu, Zhuo Huang, Riccardo Invernizzi, Yifu Lai, Dania Lazzarini, Kaizhan Lin, Xuzhe Liu, Luciano Maino, Krijn Reijnders, Fréderik Vercauteren, Yunqi Wen
32;Quasi-Cyclic Twisted McEliece Key Encapsulation Mechanism;Qin Yue, Fengwei Li, Licheng Wang, Huan Sun, Yufeng Song, Yiwei Jiang, Jingjing Zhang
33;QUBE;Liping Wang, Yi Tang, Haofei Wang, Peiying Xu
34;Rudraksh2;Supriya Adhikary, Debayan Das, Abhinava De, Anindya Ganguly, Archisman Ghosh, Harry Hart, Angshuman Karmakar, Suparna Kundu, Chaoyun Li, Prajna Mahadev, Puja Mondal, Quinten Norga, Thales B. Paiva, Debranjan Pal, Subhradip Palchaudhuri
35;Scloud+;Anyu Wang, Zhongxiang Zheng, Chunhuan Zhao, Zhiyuan Qiu, Yi Tang, Changchun Mu
36;TRIKE;Tianrui Wang, Yuxuan Li, Jing Tian, Yangcan Zhou, Zijian Zhang, Anyu Wang
37;TriQ-KEM;Lan Luo, Chaofeng Guan, Yunlei Zhao, Hong Wang, Jianhua Hou, Tong Yu
38;UVW Key Encapsulation Mechanism;Fangguo Zhang, Yang Yang, Kuojie Xiao, Xiaofeng Chen, Chen Li, Haibo Tian
39;Weaver;Long Chen, Zidi Zhuang, Tanping Zhou, Jianhua Hou, Si Gao, Yuyang Xiao, Yingjie Hao, Shuo Chen, Ruiqi Mi
40;YuanYang.KEM;Daniel De Almeida Braga, Thomas Espitau, Pierre-Alain Fouque, Huiwen Jia, Paul Kirchner, Bachir Lachguel, Alexandre Wallet, Yang Yu, Shiduo Zhang
41;ZEN;Xianhui Lu, Yijian Liu, Yu Zhang, Dongshu Cai, Dingding Jia, Zhe Liu, Junhao Huang, Lu Zhou, Liming Fang, Lei Bi, Jingnan He, Sihan He, Tianhao Liu, Lutan Zhao, Xueqian Bao, Meng Xu
