ID;Type;Algorithm;Instance;Variant;SourceDirectory;PublicKeyBytes;SecretKeyBytes;CiphertextBytes;SharedSecretBytes;SignatureBytes;Passes;InitiatorStateBytes;ResponderStateBytes;TotalMessageBytes;DigestBits;DigestBytes
hash-01;hash;AFS-TrEDM;AFS-TrEDM-1024;Reference_Implementation;AFS-TrEDM/Implementations/Reference_Implementation/AFS-TrEDM-1024;;;;;;;;;;1024;128
hash-01;hash;AFS-TrEDM;AFS-TrEDM-512;Reference_Implementation;AFS-TrEDM/Implementations/Reference_Implementation/AFS-TrEDM-512;;;;;;;;;;512;64
hash-01;hash;AFS-TrEDM;AFS-TrEDM-768;Reference_Implementation;AFS-TrEDM/Implementations/Reference_Implementation/AFS-TrEDM-768;;;;;;;;;;768;96
hash-02;hash;AXIS;AXIS-1024;Reference_Implementation;AXIS/Implementations/Reference_Implementation/AXIS-1024;;;;;;;;;;1024;128
hash-02;hash;AXIS;AXIS-512;Reference_Implementation;AXIS/Implementations/Reference_Implementation/AXIS-512;;;;;;;;;;512;64
hash-02;hash;AXIS;AXIS-768;Reference_Implementation;AXIS/Implementations/Reference_Implementation/AXIS-768;;;;;;;;;;768;96
hash-03;hash;C Hash;CHash_1024;Reference_Implementation;C Hash/Implementations/Reference_Implementation/CHash_1024;;;;;;;;;;1024;128
hash-03;hash;C Hash;CHash_512;Reference_Implementation;C Hash/Implementations/Reference_Implementation/CHash_512;;;;;;;;;;512;64
hash-04;hash;CHAMP;CHAMP-1024;Reference_Implementation;CHAMP/Implementations and Test_Vectors/API_CryptHash/Implementations/Reference_Implementation/CHAMP-1024;;;;;;;;;;1024;128
hash-04;hash;CHAMP;CHAMP-512;Reference_Implementation;CHAMP/Implementations and Test_Vectors/API_CryptHash/Implementations/Reference_Implementation/CHAMP-512;;;;;;;;;;512;64
hash-05;hash;uHash;uHash-1024;Reference_Implementation;uHash/Implementations/3 实现代码/Implementations/Reference_Implementation/uHash-1024;;;;;;;;;;1024;128
hash-05;hash;uHash;uHash-512;Reference_Implementation;uHash/Implementations/3 实现代码/Implementations/Reference_Implementation/uHash-512;;;;;;;;;;512;64
hash-05;hash;uHash;uHash-768;Reference_Implementation;uHash/Implementations/3 实现代码/Implementations/Reference_Implementation/uHash-768;;;;;;;;;;768;96
hash-06;hash;Cuishen;Cuishen-1024;Reference_Implementation;Cuishen/Implementations/Reference_Implementation/Cuishen-1024;;;;;;;;;;1024;128
hash-06;hash;Cuishen;Cuishen-512;Reference_Implementation;Cuishen/Implementations/Reference_Implementation/Cuishen-512;;;;;;;;;;512;64
hash-06;hash;Cuishen;Cuishen-768;Reference_Implementation;Cuishen/Implementations/Reference_Implementation/Cuishen-768;;;;;;;;;;768;96
hash-07;hash;Dragon;Dragon-1024;Reference_Implementation;Dragon/Implementations and Test_vector/Dragon-x86/Implementations/Reference_Implementation/Dragon-1024;;;;;;;;;;1024;128
hash-07;hash;Dragon;Dragon-512;Reference_Implementation;Dragon/Implementations and Test_vector/Dragon-x86/Implementations/Reference_Implementation/Dragon-512;;;;;;;;;;512;64
hash-07;hash;Dragon;Dragon-768;Reference_Implementation;Dragon/Implementations and Test_vector/Dragon-x86/Implementations/Reference_Implementation/Dragon-768;;;;;;;;;;768;96
hash-07;hash;Dragon;Dragon-XOF-256;Reference_Implementation;Dragon/Implementations and Test_vector/Dragon-x86/Implementations/Reference_Implementation/Dragon-XOF-256;;;;;;;;;;1280;160
hash-07;hash;Dragon;Dragon-XOF-384;Reference_Implementation;Dragon/Implementations and Test_vector/Dragon-x86/Implementations/Reference_Implementation/Dragon-XOF-384;;;;;;;;;;1152;144
hash-07;hash;Dragon;Dragon-XOF-512;Reference_Implementation;Dragon/Implementations and Test_vector/Dragon-x86/Implementations/Reference_Implementation/Dragon-XOF-512;;;;;;;;;;1024;128
hash-08;hash;Duet;Duet-1024;Reference_Implementation;Duet/Implementations/Reference_Implementation/Duet-1024;;;;;;;;;;1024;128
hash-08;hash;Duet;Duet-512;Reference_Implementation;Duet/Implementations/Reference_Implementation/Duet-512;;;;;;;;;;512;64
hash-08;hash;Duet;Duet-768;Reference_Implementation;Duet/Implementations/Reference_Implementation/Duet-768;;;;;;;;;;768;96
hash-09;hash;Eijen;Eijen-1024;Reference_Implementation;Eijen/Implementations/Reference_Implementation/Eijen-1024;;;;;;;;;;1024;128
hash-09;hash;Eijen;Eijen-256;Reference_Implementation;Eijen/Implementations/Reference_Implementation/Eijen-256;;;;;;;;;;256;32
hash-09;hash;Eijen;Eijen-384;Reference_Implementation;Eijen/Implementations/Reference_Implementation/Eijen-384;;;;;;;;;;384;48
hash-09;hash;Eijen;Eijen-512;Reference_Implementation;Eijen/Implementations/Reference_Implementation/Eijen-512;;;;;;;;;;512;64
hash-09;hash;Eijen;Eijen-768;Reference_Implementation;Eijen/Implementations/Reference_Implementation/Eijen-768;;;;;;;;;;768;96
hash-10;hash;FEILIAN;FEILIAN1024;Reference_Implementation;FEILIAN/Implementations/Reference_Implementation/FEILIAN1024;;;;;;;;;;1024;128
hash-10;hash;FEILIAN;FEILIAN512;Reference_Implementation;FEILIAN/Implementations/Reference_Implementation/FEILIAN512;;;;;;;;;;512;64
hash-10;hash;FEILIAN;FEILIAN768;Reference_Implementation;FEILIAN/Implementations/Reference_Implementation/FEILIAN768;;;;;;;;;;768;96
hash-11;hash;Garnet;Garnet_1024;Reference_Implementation;Garnet/Implementations/API_CryptHash/Implementations/Reference_Implementation/Garnet;;;;;;;;;;1024;128
hash-11;hash;Garnet;Garnet_1024_DM4x4;Reference_Implementation;Garnet/Implementations/API_CryptHash/Implementations/Reference_Implementation/Garnet;;;;;;;;;;1024;128
hash-11;hash;Garnet;Garnet_512_Cap1024;Reference_Implementation;Garnet/Implementations/API_CryptHash/Implementations/Reference_Implementation/Garnet;;;;;;;;;;512;64
hash-11;hash;Garnet;Garnet_512_Cap512;Reference_Implementation;Garnet/Implementations/API_CryptHash/Implementations/Reference_Implementation/Garnet;;;;;;;;;;512;64
hash-11;hash;Garnet;Garnet_512_Cap640;Reference_Implementation;Garnet/Implementations/API_CryptHash/Implementations/Reference_Implementation/Garnet;;;;;;;;;;512;64
hash-11;hash;Garnet;Garnet_512_Cap768;Reference_Implementation;Garnet/Implementations/API_CryptHash/Implementations/Reference_Implementation/Garnet;;;;;;;;;;512;64
