No;Algorithm;Submitters
1;Aigis-Sig+;Jiang Zhang, Yu Yu, Shuqin Fan, Kang Yang, Debiao He, Runqing Xu, Jiangxia Ge, Yuanmi Chen, Weijia Wang, Cong Peng, Di Yan, Hui Guo, Hui Zhu, Ruikang Liu, Jing Pan
2;BIT: Bimodal Triangular distribution based lattice signatures;Xianhui Lu, Yongjian Yin, Yijian Liu, Dongshu Cai, Dingding Jia, Lei Bi, Yamin Liu, Ya Shi, Hang Zhang, Ying Liu, Yu Zhang, Bing Shi, Jingnan He
3;CEDRUS+C;Siwei Sun, Zhen Qin, Fangyu Zheng, Zhiyu Zhang
4;CEDRUSɑ;Siwei Sun, Zhen Qin, Fangyu Zheng, Zhiyu Zhang
5;Chinith;Weihan Li, Yuchen Wang, Zhelei Zhou, Cheng Hong, Tao Wei
6;COMPASS-SIG;Geng Wang, Wenwen Xia, Zhedong Wang, Weidan Ji, Wenyu He, Ningyue Zhang, Fei Duan, Xinyang Geng, Jihong Li
7;CS;Shuaigang Li, Liang Bai, Zhongxiang Zheng, Keteng Huang, Yan Ding, Yongbiao Ma, Yuchen Wang
8;DARTS;Yanbin Pan, Qian Lu, Yihui Wu, Jie Li, Chi Cheng, Renzhang Liu, Qian Du
9;DOVE;Yi Jin, Yuansheng Pan, Boru Gong
10;Facto-DSA;Borja Gomez
11;FlexTree;Siwei Sun, Mehdi Abri, Jonathan Katz, Zhen Qin
12;Galas Signature Scheme;Guoxiao Liu, Zhuoqing Peng, Chongxu Ren, Guowei Liu, Juntong Lin, Yimeng Sun, Keting Jia, Hongbo Yu
13;GreatWall Signature Algorithm;Jiaqi Zheng, Tianhao Wang, Shiqi Hou, Guoxiao Liu, Xiaoyang Dong
14;Lynxer;Kang Yang, Yu Yu, Lin Jiao, Hongrui Cui, Xiaojie Guo, Qunxiong Zheng, Jiang Zhang, Hongsen Yang, Yituo He, Yonglin Hao, Chun Guo, Jiangxia Ge
15;MORNING-ATLAS;Supriya Adhikary, Debayan Das, Abhinava De, Anindya Ganguly, Harry Hart, Angshuman Karmakar, Suparna Kundu, Chaoyun Li, Prajna Mahadev, Puja Mondal, Quinten Norga, Debranjan Pal, Karthick Srivatsan
16;Octarine;Jose Maria Bermudo Mera, Joppe W. Bos, Angshuman Karmakar, Joost Renes, Sujoy Sinha Roy, Michiel Van Beirendonck, Fréderik Vercauteren, Peng Wang, Yuewu Wang, Fangyu Zheng
17;OPS Digital Signature Algorithm;Yunlei Zhao, Yixuan Song, Yifan Dong, Zhaohui Cheng, Jieyu Zheng, Han Liu, Shuaihao Li, Yu Wu, Wenbo Guo
18;Origami;Yulong Shen, Ke Cheng, Anxiao Song, Xiangxi Liu, Yangjing Wu, Junxian Wu, Xianzhi Shi, Xutong Mu, Lele Zheng, Zhenxing Niu
19;Phoenix;Zhongxiang Zheng, Chunhuan Zhao, Anyu Wang, Guangwu Xu, Zhichen Yan, Yingxue Ma, Jingtao Wang, Wanshan Xu, Zhengtao Jiang, Congming Wei, Huayun Tang, Chen Jia
20;Qing Luan;Guangfu Wu, Lei Liu, Rui Wu, Lulu Liu, Kangjun Li
21;ReSolveD-ɑ;Yu Yu, Kang Yang, Xiaojie Guo, Hongrui Cui, Chun Guo, Di Yan, Yituo He, Lizheng Wang, Jiangxia Ge
22;Rhyme;Zhongxiang Zheng, Anyu Wang, Chunhuan Zhao, Guangwu Xu, Sibo Feng, Zhichen Yan, Yuhang Sun, Zhengtao Jiang, Congming Wei, Shuang Sun, Chen Jia, Shuaigang Li
23;Shuttle;Long Chen, Yifan Ming, Jipeng Zhang, Cong Zhang, Zihan Liu, Guofeng Tang, Si Gao, Pengfei Chen, Yutao Sun, Taiyu Wang, Minxuan Mei, Jianhua Hou
24;Sigurd;Yi Deng, Yuanju Wei, Xinxuan Zhang, Zhuo Wu, Zhongliang Zhang, Lang Qin
25;SQIsign2D2;Zheng Xu, Keteng Huang, Yi Ouyang, Jiankuo Dong, Liang Bai, Yijing Ning, Wei Wei, Honggang Hu
26;SQIsign2D-push1/2;Yu Dai, Debiao He, Guanju Xiao, Gang Tang, Cong Peng, Min Luo, Jiang Zhang, Xinyi Huang, Zihao Yu, Runqing Xu, Nian Li, Bingbing Xia
27;SQIsignTriangle;Wei Yu, Bin Wang, Tingyu Xing, Wenbiao Chen, Jiaxuan Qu, Xiuyu Qiu, Song Tian, Kunpeng Wang
28;SYDO;Zongyang Zhang, Boyuan Gao, Pengce Li, Zihe Gao, Siyuan Qin, Xiao Kou, Xiang Chen, Jianwei Liu, Ying Gao, Hua Guo, Yanqing Yao
29;Tins;Xianfang Wang, Renzhang Liu, Shimin Li, Binbin Tu
30;TRINE;Gang Tang, Debiao He, Yu Dai, Cong Peng, Min Luo, Yinan Li, Xinyi Huang, Zihao Yu, Runqing Xu, Bingbing Xia
31;TSUOV;Peigen Li, Hao Guo, Yi Jin, Yuansheng Pan, Boru Gong
32;UVW signature;Fangguo Zhang, Yang Yang, Yixuan Huang, Xiaofeng Chen, Chen Li, Haibo Tian
33;VDOO: Vinegar-Diagonal-Oil-Oil;Supriya Adhikary, Cyril Bravo, Pilar Coscojuela-Escanilla, Anindya Ganguly, Angshuman Karmakar, Suparna Kundu, Debranjan Pal, Ludovic Perret, Nitin Saxena
34;YuanYang.DSA;Daniel De Almeida Braga, Thomas Espitau, Pierre-Alain Fouque, Huiwen Jia, Paul Kirchner, Bachir Lachguel, Alexandre Wallet, Yang Yu, Shiduo Zhang
