ID;Bytes;SHA256;ArchivePath
sign-01;1448215;6e6d2e07524f2d3bd489ef1e1a0db75cfaf3c9ffb66f048f2e46283e1c3a1781;sign-01/Algorithm specifications.pdf
sign-02;624928;28e942ee1baa7b686271420d56bea370c65891b4b57ef4045424f8a52dd0ccca;sign-02/Algorithm specifications.pdf
sign-03;637571;5ec5d9151e0208584e24af71c331d712995da452f1e4b75d4956aecf8da55b4b;sign-03/Algorithm specifications.pdf
sign-04;621372;7be965ae53188beec23ca4543743402509e2ae1880630b19ab1dbd29b4d70e03;sign-04/Algorithm specifications.pdf
sign-05;1452369;08c260fac74bc6c52b4c652406ea4019b94985dcf75533d02d5e935c2f86688c;sign-05/Algorithm specifications.pdf
sign-06;444179;1c470d770556b00d45a0bda2808841046326b3e980fe122a7e72c0ca461604c5;sign-06/Algorithm specifications.pdf
sign-07;276498;72c16669b2c90fa15e28f76d72335e1e3341393afd50df20264b91333f913d3f;sign-07/Algorithm specifications/CS.pdf
sign-08;409578;90d799912125b9a34d1f804beb7219d659d31e6a6e1cdbe190604d7374b36672;sign-08/Algorithm specification.pdf
sign-09;623942;c76b7b8263ef94e17b9c1821b6d8087cb3125b493ce655b4eddbabfa5f19e729;sign-09/Algorithm specifications.pdf
sign-10;469028;0bb0e5a31bfa29dd2d63bfff56051a50e8126abcf9d92665442077664461762b;sign-10/Algorithm Specification/algorithm-specification-facto-dsa.pdf
sign-11;746941;9d1e19cff59d9d8eb17729f07c7a9c2e2d9c45acaa408078dffb12eb56a99917;sign-11/Algorithm specifications.pdf
sign-12;684923;95d66ea845f96eadd68900db95a0554a6b106dce4c26d972aab33f5eb09c7c19;sign-12/Algorithm specifications.pdf
sign-13;719584;257488d91153ec3164d987d261a7205935e9cf4259a1c1b0624fbfbb25428b38;sign-13/Algorithm specifications/The GreatWall Signature Scheme.pdf
sign-14;1222093;45c8bb056141e5b314d0bbdc398d2d66ffa8c4ed6fe4a49e46793379d244c859;sign-14/Algorithm specifications.pdf
sign-15;954018;c00d819aa437bda46e3a517a129e70a17b998ec5026568a38af0715f81927942;sign-15/Algorithm_Specifications/DSA_ATLAS_Specification.pdf
sign-16;901663;b88fbdd019beb8f0ae85c1554b48c87a42c5447b39171ce559ae30988c1bf09f;sign-16/Algorithm Specifications/Octarine.pdf
sign-17;426496;1b5dc50ff728b2698bda90928251bae4e6cac4e138c82359f6f263cb6914078f;sign-17/Algorithm specifications.pdf
sign-18;827665;436569f46829f076141ec52a118b80d5eb8f0a99acbeb627d49e02fa9680e6b3;sign-18/Algorithm specifications/Origami Algorithm specifications.pdf
sign-19;793955;c9c9f4f6572fffafec246742fff577de3e09a42c0ce67012494c0360103d0e45;sign-19/Algorithm specifications/Phoenix specifications.pdf
sign-20;539329;85edd9c2b0025cae82e4c9160f2286365279ce18bfde062d3586f17b4994f4bd;sign-20/Algorithm specifications.pdf
