ID;Category;No;Algorithm;ZipFile;DownloadURL;PageURL;ForumThread
sign-01;sign;1;Aigis-Sig+;Aigis-Sig+.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Aigis-Sig%2B.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101567126852161536.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/HBX64SLYWTSSMTL3LYHBO3BD77ENY7VO/
sign-02;sign;2;BIT: Bimodal Triangular distribution based lattice signatures;BiT.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/BiT.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561076358926336.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/U7FSJZ6KONWY36MQDOVDDB7IHHORNAJY/
sign-03;sign;3;CEDRUS+C;cedrus+c.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/cedrus%2Bc.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561076497338368.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/UFWXT6DHJ56SDI6DD3NJ6JK2PFIXCMXD/
sign-04;sign;4;CEDRUSɑ;cedrus-α.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/cedrus-%CE%B1.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561076644139008.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/QTJJOIBU56LBGJ2JRXKKH5OX3ZIW3OQJ/
sign-05;sign;5;Chinith;Chinith.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Chinith.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561076774162432.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/UBKP5VIJTAKEWQGN7R6C2UZ7OGW2XYRB/
sign-06;sign;6;COMPASS-SIG;COMPASS-SIG.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/COMPASS-SIG.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561076912574464.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/FACKHS3U2WG66C763VRSC44CEH7NIYHY/
sign-07;sign;7;CS;CS.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/CS.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561077046792192.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/6Y7RS3WZHP5HOVGHOSW64T4DZNPSAXDS/
sign-08;sign;8;DARTS;DARTS.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/DARTS.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561077176815616.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/ZTVJHAUOCD3ZU4J72AMG3EDEZUDRR52Q/
sign-09;sign;9;DOVE;DOVE.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/DOVE.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561077311033344.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/PK36WEI2O5J6TBSBL5MRRDYPATRYYPIT/
sign-10;sign;10;Facto-DSA;Facto-DSA.zip;https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Facto-DSA.zip;https://www.niccs.org.cn/niccs/Round1Additional/pc/content/content_2101561077457833984.html;https://list.niccs.org.cn/archives/list/pkcforum@list.niccs.org.cn/thread/X63HQQDTUFPQQGA4DJAHSAISTNYZUVC6/
